OBJECTID,ZIPCODE,Shape_Length,Shape_Area
1,90001,48677.2784778767,95563401.5320211
2,90002,44972.0170345364,82752224.0145189
3,90003,63303.4817584496,102643123.144968
4,90004,52471.8976347375,83956967.2341056
5,90005,88978.0111280461,36885814.332333
6,90006,37832.454800946,53703662.403089
7,90007,57886.2699757513,68596085.9878963
8,90008,59093.4186823746,106644565.283278
9,90010,42372.0098396532,4555114.65066903
10,90011,57120.0646711168,119579543.022768
11,90012,61817.4669419489,96562155.6818872
12,90014,14875.2952834649,7917526.06814559
13,90015,37381.586486454,46602624.3150348
14,90016,57294.1451763625,103266621.826549
15,90017,24579.7269934108,19807345.0136719
16,90018,44601.2749743104,83025065.794174
17,90019,66607.6626281837,106758471.964294
18,90020,41832.3992730553,32961671.8125164
19,90021,38396.7681079565,57382616.7770531
20,90022,60796.0164441474,118832976.5802
21,90023,78312.7633515946,159187490.644915
22,90024,59099.3693558886,81821002.5406418
23,90025,61701.2032223602,69502027.7145472
24,90026,65508.2374144881,113989370.878857
25,90027,80042.7030038521,240682382.71764
26,90028,40223.5211412724,43287307.9609741
27,90029,35471.1944843737,39819876.0523229
28,90031,79588.4118597109,106239041.306191
29,90032,66300.1499599144,140227856.029871
30,90033,45641.60214909,85104880.3788633
31,90034,56671.572994272,86401301.0206345
32,90035,43983.5856574045,57209188.432039
33,90036,41354.9816513931,69593162.0335307
34,90037,48129.4288994285,81432298.7543943
35,90038,39784.5573844371,42456299.5971219
36,90039,69937.0604391852,113014223.204101
37,90040,83607.8255021096,154837011.093216
38,90041,68444.4620558845,98934408.456603
39,90042,69418.5081519252,126051522.502322
40,90043,57259.1340228194,113286768.599803
41,90044,82316.227776188,139674730.058427
42,90045,98726.5983224138,305820018.863697
43,90046,86575.3782579,157746549.21207
44,90047,77331.5932331655,134213045.978849
45,90048,42281.163768227,51266833.4765633
46,90049,132308.722406397,426414819.886308
47,90056,37127.5557700701,43781557.2470179
48,90057,26195.1162652013,25909144.3507544
49,90058,92632.01048102,131647587.925354
50,90059,66238.9472471585,93135767.7789634
51,90061,52266.4875781545,76648929.3514095
52,90062,36684.7935251913,52544723.6022298
53,90063,54052.1390667282,93436930.3760361
54,90064,65690.7876659113,110414356.23063
55,90065,83157.7025717067,145389928.346741
56,90066,69889.1611991306,139512530.348691
57,90067,15765.2814698942,10353515.966734
58,90068,86280.169518888,205592864.864852
59,90069,45167.3258295986,60101434.165116
60,90071,8750.62080793802,4040733.44675618
61,90073,27361.1992040491,17737982.9155398
62,90077,90139.7121797366,201734547.461349
63,90089,12256.8283410476,7188822.48201264
64,90094,49434.5996752565,33728277.8361358
65,90095,13510.4414042074,9051774.86687072
66,90201,91501.6991822401,175806946.043942
67,90210,107987.131916439,302058172.747132
68,90211,24391.0437796201,19584945.0378667
69,90212,25920.4867706852,25163960.2295766
70,90220,76544.463629097,189068383.383663
71,90221,84538.4708169807,149356841.745832
72,90222,45326.1929480355,71883479.9048584
73,90230,66927.6292375389,120572532.565248
74,90232,57013.5974093951,62235268.030939
75,90240,54224.3198820325,86107367.4324144
76,90241,75882.7165734375,139469207.245062
77,90242,70243.7842385465,123979641.934705
78,90245,57324.7824900536,152778226.989921
79,90247,61356.4988744256,103625460.483541
80,90248,92105.6666651105,130974604.137753
81,90249,48262.3501681476,84357415.2633456
82,90250,89575.3780083019,184910190.049657
83,90254,28450.0752284482,40252305.7081759
84,90255,72266.7517205312,103927448.162343
85,90260,49645.7664892551,71920459.8896669
86,90261,3226.01203343507,561318.723819401
87,90262,77669.7031760269,137311591.071897
88,90263,20517.3281269709,11434394.1583017
89,90265,351519.349079065,2262557490.05067
90,90266,47964.4186919273,108935825.488369
91,90270,30409.0661303797,33089319.7247777
92,90272,140439.52031111,677611374.93545
93,90274,185438.980369543,334971572.750013
94,90275,206572.374603861,372270445.280702
95,90277,57802.92055623,102511900.918903
96,90278,55422.6789735016,99275500.7933745
97,90280,104415.455224322,209519099.026323
98,90290,134585.667319014,521684316.167451
99,90291,38370.5446993491,65626605.6663866
100,90292,37777.7117604198,68588838.1151243
101,90293,56892.4061357019,52241404.9543873
102,90301,56522.2052290703,95595462.7902619
